0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:31 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:32 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:32 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:32 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:32 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:32 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:32 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:33 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:34 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:34 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:34 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:34 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:34 +0530] "GET /lab2.2/logout HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:42 +0530] "GET /lab2.2/logout HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:44:42 +0530] "GET /lab2.2/logout HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:45:51 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:45:51 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:45:52 +0530] "GET /lab2.2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:45:57 +0530] "POST /lab2.2/authenticate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:45:57 +0530] "GET /lab2.2/category HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:46:01 +0530] "GET /lab2.2/logout HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:51:41 +0530] "GET /lab1.1 HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:51:51 +0530] "GET /lab2.2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:51:51 +0530] "GET /lab2.2/ HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:52:17 +0530] "POST /lab2.2/authenticate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2022:11:52:17 +0530] "GET /lab2.2/category HTTP/1.1" 200 206
